,AGOP,PCA,MI,SHAP
cat__GarageType_Basment,0.00168258,3.4803296907416102e-06,0.0,3.529445383847048
cat__MiscFeature_Shed,0.0016697997,1.7987681503129275e-05,0.003033527656866708,20.125655037100557
cat__BsmtCond_None,0.0016581051,0.0002039085419942568,0.025848166767521663,12.49990277183237
cat__BsmtExposure_None,0.0016580952,0.0002039085419942568,0.02017866702021287,12.444410067066295
cat__BsmtFinType1_None,0.0016580952,0.0002039085419942568,0.02922022852877615,12.180269531249786
cat__BsmtFinType2_None,0.0016580952,0.0002039085419942568,0.01107158002298414,12.218453463898506
cat__BsmtQual_None,0.0016580952,0.0002039085419942568,0.027689387581304237,12.58430741652379
cat__GarageType_2Types,0.0015647484,5.7581468546465656e-06,0.004724341443131497,0.0
cat__MSSubClass_85,0.0015526928,2.1965281520261156e-07,0.004657044160570667,7.818971657391611
cat__SaleType_Con,0.0015293821,5.192726046847571e-06,0.0,6.286323523116053
cat__Electrical_FuseP,0.0014642081,4.048680454923571e-05,0.004695231694151536,0.0
cat__Neighborhood_NPkVill,0.0014444956,7.095633616924436e-07,0.014921677313693982,7.868411101598444
cat__GarageCond_Po,0.0014414306,4.879634426122137e-05,0.0,2.0714034139554918
cat__PoolQC_Ex,0.0014250875,4.8582095063821015e-06,0.0,0.0
cat__Functional_Sev,0.0013766295,1.24714758153726e-07,0.0,0.0
cat__GarageCond_Ex,0.0013751667,4.820439815192628e-06,0.004179151951267279,0.0
cat__Exterior2nd_AsbShng,0.0013506403,0.00010112915429640897,0.01288377496604931,0.9487947702625652
cat__Foundation_Slab,0.0013484545,0.00013926571769616757,0.01568899172454663,4.84330388484581
cat__PoolQC_None,0.0012914166,1.764137612579627e-05,0.018625346713073476,2.4928380244008297
cat__SaleType_ConLI,0.0012437241,7.674033070516142e-06,0.0,1.2162353025114025
cat__ExterQual_Fa,0.0012380311,0.00010698146232847724,0.007466661281416709,3.564178545947518
cat__Condition1_RRNn,0.0012314292,2.0176503719991976e-06,0.0050193825576601014,2.241174889412095
cat__LotShape_IR3,0.0012240384,1.873038810731432e-05,0.0,0.7981756920662012
cat__Heating_GasA,0.0011737291,0.0001828489158370258,0.0,9.060463523830144
cat__RoofMatl_Metal,0.0011133942,2.972426110052498e-08,0.0,0.0
cat__RoofMatl_Tar&Grv,0.0010430082,1.711282312748638e-06,0.006499758292646485,1.4608935859018246
cat__BsmtFinType2_GLQ,0.0010049423,6.958402848025867e-07,0.0,2.099943439640403
cat__RoofStyle_Gambrel,0.0009061198,2.478856246713883e-05,0.0,0.7654501462614135
cat__Condition2_Norm,0.00086243707,2.0508381980804675e-06,0.0,8.619335027825478
cat__RoofMatl_WdShngl,0.0008329592,1.5060106796601878e-06,0.0,4.772075074914695
cat__Heating_GasW,0.00075427233,6.887512053393004e-05,0.0,3.6125557577052434
cat__RoofStyle_Mansard,0.0007388166,7.4908548621857735e-06,0.0,1.5686914597598716
cat__GarageQual_Gd,0.0007322712,2.7462345285563285e-07,0.0,1.0610622859586447
cat__Foundation_Wood,0.0007283841,1.8280511428210341e-07,0.0,3.1832529787387065
cat__Electrical_None,0.00066776644,2.251314398182915e-07,0.0,0.0
cat__MSZoning_RH,0.0006663145,5.55630436224228e-05,0.007628935456414965,1.944759863727269
cat__ExterCond_Fa,0.00066083745,0.0001734092652254081,0.013924146014364425,0.4759697488584353
cat__MSSubClass_180,0.0006427915,1.9866975867053585e-06,0.0044262176498492956,1.5413529359303775
cat__MSSubClass_40,0.0006220741,5.313906093591889e-07,0.007885414704193794,0.9695904858733058
cat__Exterior2nd_Stone,0.0005726097,9.201272387185426e-06,0.0,0.9923719677511347
cat__Exterior1st_CBlock,0.0005638458,2.79559460469447e-06,0.0,0.0
cat__Exterior2nd_CBlock,0.0005638458,2.79559460469447e-06,0.009277966243846247,0.0
cat__Exterior2nd_AsphShn,0.00054312765,6.954358063772462e-06,0.0,0.0
cat__ExterCond_Ex,0.00053846394,6.010420264204069e-06,0.0030676400110438706,0.1538804045376941
cat__SaleType_Oth,0.00041796314,2.5112981075894456e-06,0.0014108792136251491,0.7167185002853991
cat__Condition1_RRNe,0.00037226308,1.7775236938513022e-06,0.0,0.004958618721461187
cat__Street_Pave,0.00035985617,3.407815219866009e-06,0.0,0.6584847138983937
cat__Street_Grvl,0.0003598461,3.4078152198660082e-06,0.0,0.6675039954337824
cat__Heating_Floor,0.00032064226,9.401882228391123e-06,0.0,0.0
cat__Heating_Grav,0.0002955241,5.414941999127146e-05,0.0,2.169470105593881
cat__Utilities_AllPub,0.00027901662,1.0959950002516579e-08,0.00037073769827888903,0.0
cat__Utilities_NoSeWa,0.00027900987,1.0959950002516569e-08,0.0,0.0
cat__Condition2_Feedr,0.00027667076,1.5668935398650643e-05,0.004926394653226973,1.962424300799098
cat__SaleType_ConLw,0.0002549342,8.355018803707643e-08,0.0,0.0918660459474874
cat__SaleCondition_AdjLand,0.0002504529,3.1062887555709424e-05,0.0,1.033839237300328
cat__Foundation_Stone,0.0002289481,1.1276957100397067e-05,0.011598263813693999,0.09664551227169588
cat__Condition2_PosN,0.00022603074,2.9798434844806025e-05,0.0,1.6792362835328507
