,AGOP,PCA,MI,SHAP,Perm
cat__MiscFeature_Shed,0.0016697997,1.7987681503129275e-05,0.0030335276568667,20.12565503710056,88996.8
cat__BsmtCond_None,0.0016581051,0.0002039085419942,0.0258481667675216,12.49990277183237,30443.2
cat__BsmtExposure_None,0.0016580952,0.0002039085419942,0.0201786670202128,12.444410067066295,30465.6
cat__BsmtFinType1_None,0.0016580952,0.0002039085419942,0.0292202285287761,12.180269531249786,30451.2
cat__BsmtFinType2_None,0.0016580952,0.0002039085419942,0.0110715800229841,12.218453463898506,30456.0
cat__BsmtQual_None,0.0016580952,0.0002039085419942,0.0276893875813042,12.58430741652379,30422.4
cat__GarageType_2Types,0.0015647484,5.7581468546465656e-06,0.0047243414431314,0.0,7144.0
cat__MSSubClass_85,0.0015526928,2.196528152026116e-07,0.0046570441605706,7.818971657391611,13966.4
cat__SaleType_Con,0.0015293821,5.192726046847571e-06,0.0,6.286323523116053,31468.8
cat__Electrical_FuseP,0.0014642081,4.048680454923571e-05,0.0046952316941515,0.0,3696.0
cat__Neighborhood_NPkVill,0.0014444956,7.095633616924436e-07,0.0149216773136939,7.868411101598444,25729.6
cat__GarageCond_Po,0.0014414306,4.879634426122137e-05,0.0,2.071403413955492,-302.4
cat__PoolQC_Ex,0.0014250875,4.8582095063821015e-06,0.0,0.0,9307.2
cat__Functional_Sev,0.0013766295,1.24714758153726e-07,0.0,0.0,32556.8
cat__GarageCond_Ex,0.0013751667,4.820439815192628e-06,0.0041791519512672,0.0,2075.2
cat__Exterior2nd_AsbShng,0.0013506403,0.0001011291542964,0.0128837749660493,0.9487947702625652,37316.8
cat__Foundation_Slab,0.0013484545,0.0001392657176961,0.0156889917245466,4.84330388484581,23747.2
cat__PoolQC_None,0.0012914166,1.764137612579627e-05,0.0186253467130734,2.4928380244008297,15600.0
cat__SaleType_ConLI,0.0012437241,7.674033070516142e-06,0.0,1.2162353025114023,7812.8
cat__ExterQual_Fa,0.0012380311,0.0001069814623284,0.0074666612814167,3.564178545947518,2712.0
cat__Condition1_RRNn,0.0012314292,2.0176503719991976e-06,0.0050193825576601,2.241174889412095,558.4
cat__LotShape_IR3,0.0012240384,1.873038810731432e-05,0.0,0.7981756920662012,4820.8
cat__Heating_GasA,0.0011737291,0.000182848915837,0.0,9.060463523830144,61238.4
cat__RoofMatl_Metal,0.0011133942,2.9724261100524983e-08,0.0,0.0,433.6
cat__RoofMatl_Tar&Grv,0.0010430082,1.711282312748638e-06,0.0064997582926464,1.4608935859018246,63790.4
cat__BsmtFinType2_GLQ,0.0010049423,6.958402848025867e-07,0.0,2.099943439640403,14188.8
cat__RoofStyle_Gambrel,0.0009061198,2.478856246713883e-05,0.0,0.7654501462614135,3814.4
cat__Condition2_Norm,0.00086243707,2.0508381980804675e-06,0.0,8.619335027825478,-293238.4
cat__RoofMatl_WdShngl,0.0008329592,1.5060106796601878e-06,0.0,4.772075074914695,18292.8
cat__Heating_GasW,0.00075427233,6.887512053393004e-05,0.0,3.6125557577052434,12110.4
cat__RoofStyle_Mansard,0.0007388166,7.490854862185773e-06,0.0,1.5686914597598716,-4852.8
cat__GarageQual_Gd,0.0007322712,2.7462345285563285e-07,0.0,1.0610622859586447,24753.6
cat__Foundation_Wood,0.0007283841,1.8280511428210341e-07,0.0,3.1832529787387065,34993.6
cat__Electrical_None,0.00066776644,2.251314398182915e-07,0.0,0.0,4409.6
cat__MSZoning_RH,0.0006663145,5.55630436224228e-05,0.0076289354564149,1.944759863727269,23296.0
cat__ExterCond_Fa,0.00066083745,0.0001734092652254,0.0139241460143644,0.4759697488584353,36041.6
cat__MSSubClass_180,0.0006427915,1.9866975867053585e-06,0.0044262176498492,1.5413529359303777,2473.6
cat__MSSubClass_40,0.0006220741,5.313906093591889e-07,0.0078854147041937,0.9695904858733058,3243.2
